Accession;Platform;Total bases;SRA filename;FastQ URL;FastQ filename;Submitter_id;;Metadata_name
ERR4129734;NextSeq 550;1902;ERR4129734.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/004/ERR4129734/ERR4129734.fastq.gz;ERR4129734.fastq.gz;30_6;CF;MCF01s6
ERR4129735;NextSeq 550;426;ERR4129735.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/005/ERR4129735/ERR4129735.fastq.gz;ERR4129735.fastq.gz;30_7;CF;MCF01s7
ERR4129736;NextSeq 550;1063;ERR4129736.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/006/ERR4129736/ERR4129736.fastq.gz;ERR4129736.fastq.gz;31_1;CF;MCF02s1
ERR4129737;NextSeq 550;2830;ERR4129737.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/007/ERR4129737/ERR4129737.fastq.gz;ERR4129737.fastq.gz;31_2;CF;MCF02s2
ERR4129738;NextSeq 550;4657;ERR4129738.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/008/ERR4129738/ERR4129738.fastq.gz;ERR4129738.fastq.gz;31_3;CF;MCF02s3
ERR4129739;NextSeq 550;4296;ERR4129739.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/009/ERR4129739/ERR4129739.fastq.gz;ERR4129739.fastq.gz;31_4;CF;MCF02s4
ERR4129740;NextSeq 550;0;ERR4129740.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/000/ERR4129740/ERR4129740.fastq.gz;ERR4129740.fastq.gz;32_1;CF;MCF03s1
ERR4129741;NextSeq 550;7361;ERR4129741.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/001/ERR4129741/ERR4129741.fastq.gz;ERR4129741.fastq.gz;32_2;CF;MCF03s2
ERR4129742;NextSeq 550;2986;ERR4129742.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/002/ERR4129742/ERR4129742.fastq.gz;ERR4129742.fastq.gz;33_1;CF;MCF04s1
ERR4129743;NextSeq 550;1356;ERR4129743.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/003/ERR4129743/ERR4129743.fastq.gz;ERR4129743.fastq.gz;33_2;CF;MCF04s2
ERR4129744;NextSeq 550;10875;ERR4129744.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/004/ERR4129744/ERR4129744.fastq.gz;ERR4129744.fastq.gz;34_1;CF;MCF05s1
ERR4129745;NextSeq 550;486;ERR4129745.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/005/ERR4129745/ERR4129745.fastq.gz;ERR4129745.fastq.gz;34_2;CF;MCF05s2
ERR4129746;NextSeq 550;2339;ERR4129746.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/006/ERR4129746/ERR4129746.fastq.gz;ERR4129746.fastq.gz;35_1;CF;MCF06s1
ERR4129747;NextSeq 550;14994;ERR4129747.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/007/ERR4129747/ERR4129747.fastq.gz;ERR4129747.fastq.gz;35_2;CF;MCF06s2
ERR4129748;NextSeq 550;1271;ERR4129748.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/008/ERR4129748/ERR4129748.fastq.gz;ERR4129748.fastq.gz;35_3;CF;MCF06s3
ERR4129749;NextSeq 550;7873;ERR4129749.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/009/ERR4129749/ERR4129749.fastq.gz;ERR4129749.fastq.gz;35_4;CF;MCF06s4
ERR4129750;NextSeq 550;6685;ERR4129750.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/000/ERR4129750/ERR4129750.fastq.gz;ERR4129750.fastq.gz;36_1;CF;MCF07s1
ERR4129751;NextSeq 550;4758;ERR4129751.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/001/ERR4129751/ERR4129751.fastq.gz;ERR4129751.fastq.gz;36_2;CF;MCF07s2
ERR4129752;NextSeq 550;15003;ERR4129752.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/002/ERR4129752/ERR4129752.fastq.gz;ERR4129752.fastq.gz;36_3;CF;MCF07s3
ERR4129753;NextSeq 550;283;ERR4129753.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/003/ERR4129753/ERR4129753.fastq.gz;ERR4129753.fastq.gz;37_1;CF;MCF08s1
ERR4129754;NextSeq 550;2697;ERR4129754.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/004/ERR4129754/ERR4129754.fastq.gz;ERR4129754.fastq.gz;37_2;CF;MCF08s2
ERR4129755;NextSeq 550;2943;ERR4129755.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/005/ERR4129755/ERR4129755.fastq.gz;ERR4129755.fastq.gz;37_3;CF;MCF08s3
ERR4129756;NextSeq 550;1471;ERR4129756.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/006/ERR4129756/ERR4129756.fastq.gz;ERR4129756.fastq.gz;38_1;CF;MCF09s1
